"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.bvsas.sk/domacnosti/nove-pripojenie/pred-spracovanim-dokumentacie/zakres-sieti-verejneho-vodovodu-kanalizacie.html","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/kontaktne-centrum-senec-novej-adrese.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/vodarenske-muzeum/fotogaleria/muzeum-expozicia/vonkajsia-expozicia.html","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/bvs-bude-docasne-prevadzkovat-dve-kontaktne-centra.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/modra-skola/fotagaleria/novy-podadresar/","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/den-otvorenych-dveri-bvs-a-s.html","1","Srdečne Vás pozývame do Vodárenského múzea a na ostrov Sihoť počas Dní otvorených dverí, ktoré sa budú konať 23. - 24. apríla 2016.","131","858","Indexable",""
"https://www.bvsas.sk/admin/logon/","0","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/zmena-zakaznickych-hodin-pocas-vianocnych-novorocnych-sviatkov.html","1","Vážení zákazníci, dovoľujeme si vás informovať o zmene zákazníckych hodín počas vianočných a novoročných sviatkov v našich kontaktných centrách v Bratislave, Pezinku, Senci, Senici, Skalici a na call centre. Viac informácii nájdete v nasledujúcej tabuľke.","255","1600","Indexable",""
"https://www.bvsas.sk/novinky/obnovenie-poskytovania-technickych-konzultacii-zakresov-verejnych-vodovodov-verejnych-kanalizacii-kontaktnom-centre-senica.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/zrusenie-obmedzeni-poskytovania-zakresov-konzultacii-kc-senica.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/zmena-cien-od-1-1-2012.html","1","Vážení zákazníci, oznamujeme vám, že od 1. 1. 2012 vstupujú do platnosti nové ceny, ktoré pre Bratislavskú vodárenskú spoločnosť, a. s., schválil Úrad pre reguláciu sieťových odvetví svojím rozhodnutím č. 0092/2012/V nasledovne:","228","1441","Indexable",""
"https://www.bvsas.sk/novinky/bvs-obec-kittsee-podpisali-novu-zmluvu-odvadzani-cisteni-odpadovych-vod.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/dozor-vodarenskom-zdroji-sihoti-je-posilneny-aj-policiou.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/bezplatna-analyza-vzoriek-vody-2.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/zakaznicke-centrum-otvorene-bez-obednajsich-prestavok.html","1","Bratislavská vodárenská spoločnosť, a. s., oznamuje svojim zákazníkom, že s platnosťou od 01. 2. 2010 bude zákaznícke centrum v Bratislave a v Senici otvorené bez obedňajšej prestávky.","184","1171","Indexable",""
"https://www.bvsas.sk/linky-paticke/legislativa/informacie-uzatvorenych-zmluvach-zmysle-5a-ods-3-zakona-c-211/2000-z-z/informacie-uzatvorenych-zmluvach-zmysle-5a-ods-3-zakona-c-211-2000-z-z.html","1","","0","0","Indexable",""
"https://www.bvsas.sk/linky-paticke/nadacia-bvs/venujte-nam-2.html","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/pozyvame-vas-den-otvorenych-dveri.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/domacnosti/vodomer/vodomer.html","1","","0","0","Indexable",""
"https://www.bvsas.sk/vodarenske-muzeum/","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/klienti-bvs-mozu-ziskat-vodu-rok-zadarmo.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/novym-predsedom-predstavenstva-bvs-je-judr-peter-olajos.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/na-nahlasenie-aktualneho-stavu-vodomeru-je-cas.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/kompletne-vysledky-bezplatnych-rozborov.html","1","Vážení zákazníci, na tomto mieste Vám budeme priebežne prinášať výsledky bezplatných rozborov vzoriek vody z domácich studní na prítomnosť dusičnanov a celkovú tvrdosť.","168","1083","Indexable",""
"https://www.bvsas.sk/novinky/konzultacie-zakresy-poskytujeme-bez-obmedzenia.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/bratislavska-vodarenska-spolocnost-ma-noveho-hovorcu.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/pozor-zmena-cennika-vykonov-sluzieb-od-15-10-2013.html","1","Vážení zákazníci, oznamujeme vám, že od 15. 10. 2013 dochádza k zmenám v cenníku výkonov a služieb.","99","653","Indexable",""
"https://www.bvsas.sk/novinky/najkrajsim-parkom-slovenska-je-zahrada-vodarenskeho-muzea.html","1","Záhrada Vodárenského múzea v Bratislave, ktoré patrí Bratislavskej vodárenskej spoločnosti (BVS), zvíťazila v súťaži o najkrajší Park roka 2015. Ocenenie jej udelila Spoločnosť pre záhradnú a krajinnú tvorbu (SZKT) na Záhradníckom fóre 2016, ktoré sa konalo uplynulý víkend v Nitre.","282","1763","Indexable",""
"https://www.bvsas.sk/novinky/kempelen-vratil-do-bratislavy.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/novy-cennik-od-1-marca.html","1","Vážení zákazníci, oznamujeme Vám, že od 1. marca 2012 dochádza k spoplatneniu služby vodohospodárske vyjadrenia.","112","739","Indexable",""
"https://www.bvsas.sk/pomoc-podpora/reklamacie/reklamacia-kvality-vody/","1","","0","0","Indexable",""
"https://www.bvsas.sk/vodarenske-muzeum/fotogaleria/muzeum_a_expozicia/","1","","0","0","Indexable",""
"https://www.bvsas.sk/pomoc-podpora/zakaznicky-portal/","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/pitna-voda-dlhych-dieloch-je-poriadku.html","1","Vzorky vody z vodojemu na Svíbovej ulici na Dlhých Dieloch, do ktorého sa v piatok 9. septembra vlámal neznámy páchateľ a vyvolal podozrenie na kontamináciu vody, sú v poriadku.","177","1126","Indexable",""
"https://www.bvsas.sk/pomoc-podpora/casto-kladene-otazky/fakturacia-uhrada/pridat-cislo-uctu-uhradu-vratenie-preplatkov.html","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/oznacovanie-poruch.html","1","Bratislavská vodárenská spoločnosť v spolupráci s dcérskou firmou Infra Services začala od konca septembra pri odstraňovaní porúch na vodovodnom potrubí umiestňovať informačné tabule na cesty, ktoré pomôžu identifikovať vykonávané práce.","237","1529","Indexable",""
"https://www.bvsas.sk/novinky/kontaktne-centrum-skalica-novej-adrese.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/napustanie-bazenov.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/generalny-pardon-neopravnene-vypustanie-vod-z-povrchoveho-odtoku-do-verejnej-kanalizacie-predlzeny-do-31-januara-2015.html","1","Vážení zákazníci, dovoľujeme si vám oznámiť, že Bratislavská vodárenská spoločnosť, z dôvodu mimoriadneho záujmu zo strany zákazníkov, predlžuje Generálny pardon na neoprávnené vypúšťanie vôd z povrchového odtoku do verejnej kanalizácie až do 31. januára 2015.","260","1681","Indexable",""
"https://www.bvsas.sk/novinky/motivujeme-ziakov-vybrat-si-povolanie-oblasti-vodarenstva.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/nove-cislo-zakaznickeho-casopisu-svet-vody.html","1","Vážení zákazníci, prinášame vám nové číslo zákazníckeho časopisu SVET VODY 01/2015, ktorý pre vás pripravujeme už štvrtý rok.","125","815","Indexable",""
"https://www.bvsas.sk/novinky/na-telefonoch-usetri-bratislavska-vodarenska-spolocnost-viac-ako-310-tisic-eur.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/poruchy-odstavky/planovane-odstavky/bratislava-stare-mesto-mudronova-18-04-2023.html","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/bvs-rozsirila-kapacitu-vodarenskeho-zdroja-holdosov-mlyn.html","1","Bratislavská vodárenská spoločnosť dokončila rozšírenie vodárenského zdroja Holdošov mlyn na Záhorí neďaleko obce Hradište pod Vrátnom. Rozšírený vodárenský zdroj má kapacitu 50 litrov kvalitnej pitnej vody za sekundu, ktorá už nepotrebuje ďalšiu technologickú úpravu. To je viac ako dvojnásobok jeho pôvodnej kapacity. Voda z tohto zdroja bude napájať skupinový vodovod v smere Hradište pod Vrátnom – Osuské – Hlboké – Senica. Celkové investície do rozšírenia vodárenského zdroja sa pohybovali na úrovni 4,6 milióna eur.","521","3319","Indexable",""
"https://www.bvsas.sk/novinky/obmedzenie-dodavky-pitnej-vody-obci-bukova.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/poruchy-odstavky/planovane-odstavky/bratislava-ruzinov-mesacna-dr-vladimira-clementisa-21-04-2023.html","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/bvs-preventivne-otestuje-takmer-200-svojich-klucovych-zamestnancov.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/pomoc-podpora/reklamacie/reklamacia-faktury/","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/bvs-vymeni-straznu-sluzbu.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/pomoc-podpora/neopravnene-odbery/","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/stanovisko-k-zverejnenym-informaciam-kontaminacii-podzemnych-vod-zo-skladky-chzjd-vo-vrakuni.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/modra-skola/vzdelavaci-program/prihlaska-do-programu-modra-skola/","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/bratislavska-vodarenska-spolocnost-si-pripomina-medzinarodny-den-dunaja.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/zmena-poste-generalneho-riaditela-bvs.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/mail-opat-funkcny.html","1","Vážení zákazníci, e-mail sluzby@bvsas.sk je opäť funkčný. Ďakujeme za trpezlivosť.","82","517","Indexable",""
"https://www.bvsas.sk/vodarenske-muzeum/fotogaleria/karloveske-rameno/","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/bratislavska-vodarenska-spolocnost-je-najtransparentnejsia-vodaren-slovensku.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/hlasenie-poruch-vodovodnej-kanalizacnej-sieti.html","1","Vážení zákazníci, dňom 19. 07. 2013 uviedla Bratislavská vodárenská spoločnosť do prevádzky zariadenie IVR (Interactive voice response) pre efektívnejšie hlásenie porúch na vodovodnej a kanalizačnej sieti.","205","1295","Indexable",""
"https://www.bvsas.sk/novinky/ospravedlnenie.html","1","Vážení zákazníci, počas mesiaca jún boli distribuované obálky s chybne uvedenou adresou našej spoločnosti, za čo sa vám ospravedlňujeme.","136","878","Indexable",""
"https://www.bvsas.sk/novinky/generalny-pardon-neopravnene-vypustanie-vod-z-povrchoveho-odtoku-do-verejnej-kanalizacie.html","1","Vážení zákazníci, Bratislavská vodárenská spoločnosť, a. s., (ďalej len „BVS“), v období od 1. novembra do 31. decembra 2014 umožňuje svojim zákazníkom nahlásiť neoprávnené vypúšťanie vôd z povrchového odtoku, prípadne zmenu plôch určených na ich vypúšťanie do verejnej kanalizácie.","282","1812","Indexable",""
"https://www.bvsas.sk/novinky/bvs-znova-otvori-zahradu-vodarenskeho-muzea.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/firmy/sluzby/mimoriadne-vyuctovanie-k-31-12/","1","","0","0","Indexable",""
"https://www.bvsas.sk/pomoc-podpora/","1","","0","0","Indexable",""
"https://www.bvsas.sk/formulare-ziadosti/formulare-ziadosti.html","1","","0","0","Indexable",""
"https://www.bvsas.sk/kontakt/","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/vysledky-analyzy-vzoriek-vody-2016.html","1","Vážení zákazníci, ďakujeme Vám za prejavený záujem o naše podajutie, ktoré každý rok pripravujeme ku Svetovému dňu vody - bezplatný rozbor vzoriek vody na prítomnosť dusičnanov a celkovú tvrdosť.","195","1251","Indexable",""
"https://www.bvsas.sk/novinky/dodavka-vody-do-obce-hradiste-pod-vratnom-obnovena.html","1","BVS v nedeľu 24. apríla obnovila dodávku vody do obce Hradište pod Vrátnom.","75","489","Indexable",""
"https://www.bvsas.sk/kvalita-vody/bratislavske-trasy-sviezosti-abtestvariantb.html","1","","0","0","Indexable",""
"https://www.bvsas.sk/modra-skola/hlavna-stranka/o-programe/o-programe.html","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/v-roku-1886-zacala-pisat-historia-bratislavskeho-vodarenstva.html","1","Najstarší výtlačný vodovod na Slovensku má 130 rokov Dnes uplynulo presne stotridsať rokov od napustenia prvého verejného výtlačného vodovodu na Slovensku vodou. Postavený bol v Bratislave, voda sa do neho čerpala z podzemia dunajského ostrova Sihoť a tlačila do vodojemu pri hrade, z ktorého tiekla k obyvateľom","312","2007","Indexable",""
"https://www.bvsas.sk/novinky/bvs-spustila-novu-web-stranku.html","1","Bratislava 7. jún 2021 – Bratislavská vodárenská spoločnosť dnes spustila nový dizajn internetovej stránky www.bvsas.sk. Okrem prehľadnejšej grafiky, podrobnejších návodov ako vybaviť najčastejšie dopyty našich zákazníkov, prináša aj viacero noviniek. Napríklad možnosť objednať si online termín stretnutia na našom kontaktnom centre v Bratislave či online mapu dopravných obmedzení po vzniknutých poruchách  a odstávkach.  Nová internetová stránka sa bude ďalej dopĺňať o ďalšie funkcionality. Do konca roka by mala pre spoločnosti vyvážajúce splaškové vody cisternami pribudnúť možnosť objednať si presný termín vývozu na konkrétnej čistiarni odpadových vôd.","660","4175","Indexable",""
"https://www.bvsas.sk/novinky/stanovisko-bvs-k-poplatku-3-7-2-cennika-vykonov-sluzieb.html","1","V zmysle § 26 bodu 1 písm. h) zákona 442/2002 Z. z. o verejných vodovodoch a verejných kanalizáciách, má odberateľ povinnosť oznámiť vlastníkovi verejného vodovodu zmenu vlastníckeho práva k nehnuteľnosti pripojenej na verejný vodovod.","235","1512","Indexable",""
"https://www.bvsas.sk/novinky/bvs-pridava-dalsie-obmedzenia-svojich-cinnosti.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/linky-paticke/legislativa/enviromentalne-informacie/","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/bvs-podujati-danube-up-2016-osviezi-navstevnikov-hravou-formou-priblizi-specificke-vlastnosti-vody.html","1","Bratislavská vodárenská spoločnosť (BVS) pozýva verejnosť na podujatie DANUBE UP 2016, ktoré sa uskutoční 8. a 9. júla v Bratislave ako sprievodná akcia 7. Európskeho samitu regiónov a miest.","191","1231","Indexable",""
"https://www.bvsas.sk/novinky/zakres-vodarenskych-sieti-cez-web-zadarmo-pockanie.html","1","Kadiaľ presne vám cez pozemok ide vodovod alebo kanalizácia už teraz môžete zistiť z pohodlia domova. Informatívny zákres sietí poskytuje BVS cez svoj web, zákres dostanete na e-mail do 30 minút a získate ho bezplatne. Takto získaný zákres má informatívny charakter a nie je určený na právne úkony.","298","1885","Indexable",""
"https://www.bvsas.sk/novinky/dlhsie-odstavenym-prevadzkam-odporuca-bvs-vykonat-preplach-vnutornych-rozvodov-pitnej-vody.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/pripajanie-verejny-vodovod-pocas-zimy-bude-obmedzene-3.html","1","Pripájanie na verejný vodovod je počas zimných mesiacov každoročne obmedzené. Neočakávané výkyvy teplôt by totiž mohli ohroziť prevádzku využívaných potrubí. Preto BVS od 1. 12. 2022 do 28. 2. 2023 pozastavuje preberanie žiadostí o preverenie technických podmienok pripojenia na verejný vodovod, ktoré sa týkajú realizácie vodovodnej prípojky alebo rekonštrukcie vodovodnej prípojky.","383","2447","Indexable",""
"https://www.bvsas.sk/novinky/celoplosny-odpocet-stavu-vodomerov-2.html","1","Bratislavská vodárenská spoločnosť oznamuje svojim zákazníkom, že pracovníci dcérskej spoločnosti BVS – Infra Services vykonávajú od začiatku roka 2010 celoplošný odpočet stavu vodomerov.","187","1217","Indexable",""
"https://www.bvsas.sk/novinky/pripajanie-verejny-vodovod-pocas-zimy-bude-obmedzene.html","1","Pripájanie na verejný vodovod je počas zimných mesiacov každoročne obmedzené. Neočakávané výkyvy teplôt by totiž mohli ohroziť prevádzku využívaných potrubí. Preto BVS od 15. 11. 2021 do 28. 2. 2022 pozastavuje preberanie žiadostí o preverenie technických podmienok pripojenia na verejný vodovod, ktoré sa týkajú realizácie vodovodnej prípojky alebo rekonštrukcie vodovodnej prípojky.","384","2455","Indexable",""
"https://www.bvsas.sk/novinky/oslavte-svetovy-den-vody-bratislavskou-vodarenskou-spolocnostou.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/zacina-druhe-kolo-sutaze-voda-rok-zadarmo.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/stanovisko-k-zakalu-vody-vo-verejnom-vodovode-obciach-ivanka-pri-dunaji-bernolakovo-slovensky-grob-chorvatsky-grob-velky.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/kvalita-vody/o-vode/analyza-pitnej-vody-kolaudacne-ucely.html","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/bratislavska-vodarenska-spolocnost-ziskala-osvedcenie-sposobilosti-vykonavat-vyskum-vyvoj.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/vyhodnotenie-generalneho-pardonu.html","1","Bratislavská vodárenská spoločnosť, a. s., (ďalej len BVS) spustila 1. decembra 2010 akciu s názvom Generálny pardon. V praxi to znamenalo, že čiernym odberateľom pitnej vody a čiernym producentom odpadových vôd boli zlegalizované napojenia na siete a vodárenská spoločnosť od nich nevymáhala úhradu za vzniknuté náklady a škody.","329","2115","Indexable",""
"https://www.bvsas.sk/novinky/obmedzenie-poskytovania-konzultacii-zakresov-kc-senec-kc-pezinok.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/bvs-zabezpecuje-pitny-rezim-bratislavcanov.html","1","Obyvatelia a návštevníci Bratislavy majú od dnešného dňa k dispozícii bezplatný pitný režim v centre mesta. Ide o tradičnú akciu organizovanú v spolupráci s mestom, v rámci ktorej budú dostupné cisterny s pitnou vodou na Hlavnom námestí a Poštovej ulici.","254","1589","Indexable",""
"https://www.bvsas.sk/novinky/bvs-odporuca-skolam-preventivny-preplach-vodovodnych-rozvodov.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/pomoc-podpora/cennik/","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/bvs-podava-trestne-oznamenie-za-ohrozenie-ustrednej-cistiarne-odpadovych-vod-vo-vrakuni.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/pozastavenie-nahlasovania-stavov-vodomerov.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/vodarenske-muzeum/fotogaleria/fotogaleria.html","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/chrante-svoj-vodomer-pred-zamrznutim.html","1","Vzhľadom na pretrvávajúce obdobie mrazov sme pre Vás pripravili niekoľko tipov, ako chrániť vodomer pred poškodením v dôsledku zamrznutia.","138","887","Indexable",""
"https://www.bvsas.sk/novinky/kontaktne-centra-bvs-opat-otvorene.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/domacnosti/zrazky-zrazkove-vody/vypocet-zrazkovych-vod/","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/oznam-technickej-odstavke.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/kontakt/napiste-nam.html","1","","0","0","Indexable",""
"https://www.bvsas.sk/poruchy-odstavky/planovne-odstavky/ba-vrakuna-levandulova-27-4-2021.html","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/pozname-vitazov-zakaznickej-sutaze.html","1","V auguste 2011 BVS spustila prvú súťaž pre svojich zákazníkov prostredníctvom príbalových letákov.","98","625","Indexable",""
"https://www.bvsas.sk/novinky/bvs-prechadza-do-krizoveho-personalneho-rezimu.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/vypadok-mailovej-komunikacie.html","1","Vážení zákazníci, dovoľujeme si vás upozorniť, že od 27. 10. 2014 nie je možné prijímať ani odosielať e-maily na sluzby@bvsas.sk.","129","809","Indexable",""
"https://www.bvsas.sk/linky-pliliaticke/legislliliativlilia/dliliarovliliacie-zmluvy-vodne-stliliavby/","1","","0","0","Indexable",""
"https://www.bvsas.sk/domacnosti/submenu/","1","","0","0","Non-Indexable","noindex"
"https://www.bvsas.sk/novinky/?page=20","1","","0","0","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/novinky/?page=21","1","","0","0","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/novinky/?page=22","1","","0","0","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/novinky/bratislavska-vodarenska-spolocnost-meni-ceny.html","1","V regióne pôsobnosti Bratislavskej vodárenskej spoločnosti sa od 24. januára 2023 zmení cena vodného a stočného","111","723","Indexable",""
"https://www.bvsas.sk/novinky/?page=10","1","","0","0","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/novinky/?page=11","1","","0","0","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/novinky/?page=12","1","","0","0","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/novinky/?page=13","1","","0","0","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/novinky/?page=14","1","","0","0","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/novinky/?page=15","1","","0","0","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/novinky/?page=16","1","","0","0","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/novinky/cisterna-pitnou-vodou-opat-hlavnom-namesti.html","1","Podľa predpovede počasia nás opäť čaká tropický týždeň, kedy by teplota mala presahovať 30 °C. Počas celého týždňa (od 20. do 24. augusta) bude naša spoločnosť v centre hlavného mesta zabezpečovať pitný režim.","209","1357","Indexable",""
"https://www.bvsas.sk/novinky/cisterny-pitnou-vodou-opat-hlavnom-meste.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/novinky/?page=17","1","","0","0","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/novinky/?page=18","1","","0","0","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/novinky/?page=19","1","","0","0","Non-Indexable","Canonicalised"
"https://www.bvsas.sk/novinky/zasielanie-novych-zmluv.html","1","Vážení zákazníci, v súvislosti s prechodom na nový spôsob fakturácie Vám bola, prípadne bude zaslaná nová zmluva v dvoch vyhotoveniach.","135","873","Indexable",""
"https://www.bvsas.sk/novinky/zmena-zakaznickych-hodin-pocas-sviatkov.html","1","Vážení zákazníci, dovoľujeme si vás informovať o zmene zákazníckych hodín počas vianočných a novoročných sviatkov v našich zákaznícky centrách Bratislava, Senica a na call centre. Viac informácii nájdete v nasledujúcej tabuľke.","227","1439","Indexable",""
"https://www.bvsas.sk/novinky/zakaznicke-centrum-opat-plnej-prevadzke.html","1","Vážení zákazníci, technická porucha na zákazníckom centre v Bratislave bola odstránená, fungujeme opäť v plnom režime.","118","755","Indexable",""
"https://www.bvsas.sk/novinky/chcete-byt-vybaveni-rychlejsie.html","1","Vážení zákazníci, v záujme rýchlejšieho vybavenia pri osobnej návšteve našich zákazníckych centier dodržujte prosím nasledujúce pokyny:","135","856","Indexable",""
"https://www.bvsas.sk/novinky/laureatom-ceny-visio-2020-stal-projekt-bvs-modra-skola-voda-buducnost.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/linky-paticke/legislativa/zmluvy-kvalite-odpadovych-vod-odvadzanych-verejnou-kanalizaciou/","1","","0","0","Indexable",""
"https://www.bvsas.sk/linky-paticke/legislativa/povinne-zverejnovanie-faktury/","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/kontaktne-centrum-bratislave-aj-mestskej-casti-lamac.html","1","Hodnota 1","9","64","Indexable",""
"https://www.bvsas.sk/kvalita-vody/ako-setrit-vodu-domacnosti.html","1","","0","0","Indexable",""
"https://www.bvsas.sk/novinky/obnovenie-poskytovania-konultacii-zakresov-kc-lamac.html","1","Hodnota 1","9","64","Indexable",""
